"id","region","year","areaKM","prod","climate_Mean","climate_Max","climate_Min","climate_Humidity","climate_Range","climate_GDD"
22,"Rondonia",2001,67.03,56037,25.18,30.33,21.85,83.54,8.48,11.18
22,"Rondonia",2002,56.47,46443,25.76,30.33,22.46,83.39,7.87,11.76
22,"Rondonia",2003,68.9,56058,25.47,30.65,22.15,82.51,8.5,11.47
22,"Rondonia",2004,68.51,56117,25.49,30.58,22.03,82.82,8.55,11.49
22,"Rondonia",2005,67.81,57570,25.67,31.15,21.89,80.16,9.26,11.67
22,"Rondonia",2006,54.01,46119,25.59,30.97,21.9,80.04,9.07,11.59
22,"Rondonia",2007,54.98,46696,25.61,31.05,21.79,79.69,9.26,11.61
22,"Rondonia",2008,56.21,48058,25.4,30.75,21.67,80.2,9.08,11.4
22,"Rondonia",2009,58.12,49183,25.62,30.78,22.13,82.74,8.65,11.62
22,"Rondonia",2010,60.26,53037,25.99,31.55,21.98,77.43,9.57,11.99
22,"Rondonia",2011,63.27,53965,25.99,31.32,22.23,78.67,9.09,11.99
22,"Rondonia",2012,68.4,59151,25.78,31.16,21.99,79.47,9.17,11.78
22,"Rondonia",2013,82.77,70625,25.32,30.39,21.85,82.42,8.54,11.32
22,"Rondonia",2014,77.72,78388,25.45,30.45,22.08,82.66,8.37,11.45
22,"Rondonia",2015,76.77,77293,26.09,31.54,22.3,79.95,9.24,12.09
22,"Rondonia",2016,77.48,76603,25.89,31.21,22.1,80.4,9.11,11.89
22,"Rondonia",2017,88.08,76468,25.74,31.12,22.05,79.78,9.07,11.74
22,"Rondonia",2018,65.28,99878,25.35,30.49,21.83,81.32,8.66,11.35
22,"Rondonia",2019,63.5,82757,25.89,31.14,22.3,80.05,8.84,11.89
22,"Rondonia",2020,66.3,83975,26.11,31.52,22.33,76.91,9.19,12.11
22,"Rondonia",2021,68.07,94806,25.7,30.98,22.02,77.43,8.96,11.7
22,"Rondonia",2022,70.82,81946,25.63,31,21.81,76.57,9.19,11.63
1,"Acre",2001,51.92,43625,24.99,30.11,21.65,86.1,8.46,10.99
1,"Acre",2002,67.12,52087,25.45,30.11,22.22,85.79,7.89,11.45
1,"Acre",2003,75.01,57918,25.23,30.39,21.85,84.75,8.54,11.23
1,"Acre",2004,76.54,62503,24.92,30.04,21.52,86.04,8.52,10.92
1,"Acre",2005,70.42,55479,25.54,30.99,21.67,82.16,9.32,11.54
1,"Acre",2006,88.96,75589,25.39,30.67,21.72,83.24,8.95,11.39
1,"Acre",2007,106.16,90786,25.29,30.62,21.55,83.37,9.07,11.29
1,"Acre",2008,101.46,94964,25.25,30.59,21.54,83.38,9.05,11.25
1,"Acre",2009,52.19,50109,25.5,30.51,22.07,85.35,8.44,11.5
1,"Acre",2010,65.87,65623,26,31.39,22.17,81.01,9.22,12
1,"Acre",2011,65.39,69730,25.58,30.72,22.14,84.02,8.58,11.58
1,"Acre",2012,60.17,64112,25.3,30.68,21.64,83.87,9.04,11.3
1,"Acre",2013,73.36,77742,25.29,30.56,21.71,84,8.85,11.29
1,"Acre",2014,83.5,100969,25.14,30.18,21.79,85.53,8.39,11.14
1,"Acre",2015,81,106268,25.72,30.87,22.32,84.95,8.55,11.72
1,"Acre",2016,85.02,113545,25.8,31.11,22.15,82.21,8.96,11.8
1,"Acre",2017,81.18,102949,25.46,30.66,22.01,83.12,8.65,11.46
1,"Acre",2018,73.7,90680,25.04,30.14,21.65,83.89,8.49,11.04
1,"Acre",2019,71.25,88169,25.43,30.69,22.03,83.42,8.66,11.43
1,"Acre",2020,69.15,86113,25.68,31.21,21.98,81.24,9.23,11.68
1,"Acre",2021,66.25,82367,25.39,30.67,21.7,82.29,8.97,11.39
1,"Acre",2022,66.75,82836,25.3,30.88,21.46,81.08,9.42,11.3
4,"Amazonas",2001,340.19,106019,25.58,30.44,22.55,88.11,7.89,11.58
4,"Amazonas",2002,346.29,377379,25.9,30.44,22.95,87.85,7.49,11.9
4,"Amazonas",2003,348.45,378800,25.95,30.75,22.97,87.38,7.78,11.95
4,"Amazonas",2004,322.68,354433,25.83,30.57,22.82,87.95,7.75,11.83
4,"Amazonas",2005,224.56,244767,26.2,31.15,22.99,86.27,8.16,12.2
4,"Amazonas",2006,225.77,262166,25.99,30.89,22.84,86.42,8.05,11.99
4,"Amazonas",2007,217.93,235242,26.03,30.94,22.85,85.86,8.09,12.03
4,"Amazonas",2008,143.21,90247,25.77,30.61,22.66,86.82,7.95,11.77
4,"Amazonas",2009,146.5,136108,26.12,30.92,23.01,86.42,7.91,12.12
4,"Amazonas",2010,67.68,79734,26.49,31.46,23.26,84.85,8.2,12.49
4,"Amazonas",2011,82.11,96239,26.12,30.99,23,85.83,7.99,12.12
4,"Amazonas",2012,54.4,63745,25.96,30.81,22.84,85.5,7.97,11.96
4,"Amazonas",2013,66.6,84726,25.93,30.66,22.89,86.6,7.77,11.93
4,"Amazonas",2014,50.74,54610,25.99,30.74,22.91,86.19,7.83,11.99
4,"Amazonas",2015,55.81,73444,26.52,31.5,23.26,84.25,8.24,12.52
4,"Amazonas",2016,62.51,88929,26.52,31.24,23.41,85.04,7.83,12.52
4,"Amazonas",2017,78.43,103477,26.21,31.01,23.09,85.09,7.92,12.21
4,"Amazonas",2018,78.05,113272,25.94,30.64,22.92,85.66,7.72,11.94
4,"Amazonas",2019,57.33,82246,26.12,30.78,23.15,85.94,7.63,12.12
4,"Amazonas",2020,63.46,92670,26.3,31.14,23.14,83.83,8,12.3
4,"Amazonas",2021,59.15,84755,25.95,30.58,22.92,84.96,7.66,11.95
4,"Amazonas",2022,61.42,88664,25.94,30.78,22.72,83.34,8.06,11.94
23,"Roraima",2001,35,28000,25.53,30.12,22.03,80.64,8.09,11.53
23,"Roraima",2002,29.65,23720,25.85,30.12,22.51,80.93,7.61,11.85
23,"Roraima",2003,32.5,29250,25.89,30.53,22.55,79.87,7.98,11.89
23,"Roraima",2004,39.7,36454,25.73,30.37,22.41,81.27,7.96,11.73
23,"Roraima",2005,39.7,36454,25.79,30.32,22.57,83,7.75,11.79
23,"Roraima",2006,39.7,36454,25.56,30.04,22.31,82.64,7.73,11.56
23,"Roraima",2007,39.7,36454,25.6,30.14,22.35,81.47,7.79,11.6
23,"Roraima",2008,39.7,36454,25.26,29.66,22.15,83.36,7.51,11.26
23,"Roraima",2009,46.4,45000,26.03,30.65,22.61,80.03,8.04,12.03
23,"Roraima",2010,46.4,45000,25.85,30.33,22.7,82.58,7.63,11.85
23,"Roraima",2011,46.4,45000,25.36,29.81,22.22,85.05,7.59,11.36
23,"Roraima",2012,55.68,53998,25.47,29.97,22.27,83.78,7.7,11.47
23,"Roraima",2013,87.35,92030,25.66,30.22,22.37,82.05,7.85,11.66
23,"Roraima",2014,90.35,96051,25.85,30.46,22.44,80.32,8.02,11.85
23,"Roraima",2015,109.01,115521,26.29,31,22.67,76.42,8.33,12.29
23,"Roraima",2016,70.68,56858,26.44,30.96,23.02,78.88,7.94,12.44
23,"Roraima",2017,61.26,49904,25.95,30.33,22.7,82.93,7.63,11.95
23,"Roraima",2018,61.01,61495,25.96,30.47,22.6,80.12,7.87,11.96
23,"Roraima",2019,65.83,59293,26.27,30.75,22.99,79.48,7.76,12.27
23,"Roraima",2020,65.96,62239,26.23,30.84,22.91,79.25,7.93,12.23
23,"Roraima",2021,56.75,63684,25.67,29.99,22.61,82.46,7.38,11.67
23,"Roraima",2022,64.05,69240,25.49,29.98,22.3,82.03,7.68,11.49
14,"Para",2001,583.11,712417,25.71,30.69,22.16,82.38,8.53,11.71
14,"Para",2002,530.54,723694,26.15,30.69,22.58,80.13,8.11,12.15
14,"Para",2003,521.09,705268,25.99,30.84,22.48,81.31,8.36,11.99
14,"Para",2004,422.34,540312,26,30.81,22.55,81.23,8.26,12
14,"Para",2005,418.33,537900,26.44,31.29,22.9,79.32,8.39,12.44
14,"Para",2006,430.49,551786,26.1,30.92,22.62,80.02,8.3,12.1
14,"Para",2007,445.52,570951,26.18,31.13,22.54,79.13,8.59,12.18
14,"Para",2008,432.13,555814,25.84,30.79,22.22,80.01,8.57,11.84
14,"Para",2009,389.25,501344,26.12,31.01,22.57,79.61,8.44,12.12
14,"Para",2010,417.11,539979,26.6,31.64,22.88,78.58,8.76,12.6
14,"Para",2011,407.1,545493,26.06,30.98,22.46,79.78,8.52,12.06
14,"Para",2012,413.84,547098,26.13,31.08,22.41,78.68,8.67,12.13
14,"Para",2013,435.1,585943,26.2,31.02,22.77,81.06,8.25,12.2
14,"Para",2014,454.28,588655,26.31,31.28,22.67,79.01,8.61,12.31
14,"Para",2015,460.79,595527,26.8,31.94,22.99,76.58,8.95,12.8
14,"Para",2016,424.72,504907,26.78,31.85,23.1,79.03,8.75,12.78
14,"Para",2017,431.45,514205,26.67,31.83,22.97,77.39,8.86,12.67
14,"Para",2018,353.48,417983,26.22,31.21,22.66,80.13,8.55,12.22
14,"Para",2019,336.62,381248,26.37,31.28,22.85,79.9,8.43,12.37
14,"Para",2020,356.54,407372,26.33,31.36,22.62,78.03,8.74,12.33
14,"Para",2021,397.36,472281,26.12,31.02,22.55,80.56,8.47,12.12
14,"Para",2022,391.26,485005,26.05,31.02,22.41,79.5,8.61,12.05
3,"Amapa",2001,6.25,2808,25.72,30.49,22.32,81.32,8.17,11.72
3,"Amapa",2002,5.6,2460,25.76,30.49,22.51,82.02,7.98,11.76
3,"Amapa",2003,5.4,2275,25.99,30.79,22.56,80.97,8.23,11.99
3,"Amapa",2004,5.25,2072,26.21,31.12,22.67,79.91,8.45,12.21
3,"Amapa",2005,6.8,2635,26.39,31.24,22.99,81.21,8.25,12.39
3,"Amapa",2006,7.2,3250,25.99,30.72,22.75,82.51,7.97,11.99
3,"Amapa",2007,9,4100,26.07,30.93,22.83,81.86,8.1,12.07
3,"Amapa",2008,12.87,4364,25.93,30.85,22.52,81.67,8.33,11.93
3,"Amapa",2009,14.32,5849,26.38,31.42,22.74,79.38,8.68,12.38
3,"Amapa",2010,14.93,6415,26.59,31.59,23.1,81.96,8.49,12.59
3,"Amapa",2011,15.23,12162,26.28,31.2,22.74,80.78,8.46,12.28
3,"Amapa",2012,18.5,15790,26.6,31.67,22.77,78.04,8.9,12.6
3,"Amapa",2013,19.85,17115,26.5,31.4,23.04,80.43,8.36,12.5
3,"Amapa",2014,20.86,18124,26.51,31.43,22.97,79.25,8.46,12.51
3,"Amapa",2015,21.5,18850,26.83,31.89,23.15,78.18,8.74,12.83
3,"Amapa",2016,21,18606,26.92,31.86,23.42,79.65,8.44,12.92
3,"Amapa",2017,21.8,19873,26.46,31.22,23.18,81.36,8.04,12.46
3,"Amapa",2018,16.5,14860,25.99,30.52,22.85,83.01,7.67,11.99
3,"Amapa",2019,16.94,15342,26.37,30.92,23.09,81.3,7.83,12.37
3,"Amapa",2020,17.22,15815,26.42,31.15,23.1,81.78,8.05,12.42
3,"Amapa",2021,17.5,15815,26.14,30.73,23.04,83.46,7.69,12.14
3,"Amapa",2022,19.01,17234,25.95,30.66,22.79,83.19,7.87,11.95
27,"Tocantins",2001,50.47,31301,26.38,31.72,22.03,70.92,9.69,12.38
27,"Tocantins",2002,49.89,30991,26.82,31.72,22.28,68.12,9.44,12.82
27,"Tocantins",2003,50.16,36300,26.61,31.93,22.21,69.3,9.72,12.61
27,"Tocantins",2004,45.38,35438,26.62,31.87,22.32,68.3,9.55,12.62
27,"Tocantins",2005,46.24,35368,26.76,32.05,22.38,67.98,9.67,12.76
27,"Tocantins",2006,40.18,32418,26.36,31.61,22.04,70.19,9.57,12.36
27,"Tocantins",2007,42.6,34437,26.92,32.46,22.3,64.74,10.16,12.92
27,"Tocantins",2008,40.3,31921,26.52,31.93,22.06,67.38,9.87,12.52
27,"Tocantins",2009,35.4,25348,26.44,31.58,22.26,72.62,9.32,12.44
27,"Tocantins",2010,35.58,25141,27.26,32.76,22.76,65.4,10,13.26
27,"Tocantins",2011,37.22,27865,26.48,31.88,22.06,68.51,9.82,12.48
27,"Tocantins",2012,34.77,26065,26.81,32.33,22.3,66.49,10.03,12.81
27,"Tocantins",2013,34.61,29356,26.99,32.31,22.65,68.69,9.66,12.99
27,"Tocantins",2014,32.7,27412,26.8,32.16,22.43,68.29,9.73,12.8
27,"Tocantins",2015,30.25,30876,27.4,33.01,22.7,66.29,10.31,13.4
27,"Tocantins",2016,32.02,32314,27.88,33.47,23.2,64.37,10.27,13.88
27,"Tocantins",2017,27.26,26501,27.39,32.87,22.83,64.49,10.04,13.39
27,"Tocantins",2018,112.44,73452,26.9,32.38,22.39,67.95,9.99,12.9
27,"Tocantins",2019,119.93,81708,27.26,32.74,22.75,67.21,9.99,13.26
27,"Tocantins",2020,33.92,30356,26.59,32.25,21.79,67.45,10.46,12.59
27,"Tocantins",2021,38.6,31133,26.29,31.79,21.7,69.46,10.09,12.29
27,"Tocantins",2022,38.45,30468,26.38,32.09,21.49,67.26,10.6,12.38
10,"Maranhao",2001,116.63,118173,26.56,31.68,22.41,75.22,9.27,12.56
10,"Maranhao",2002,115.78,126755,26.76,31.68,22.76,74.86,8.92,12.76
10,"Maranhao",2003,117.9,128839,26.84,31.84,22.79,74.26,9.05,12.84
10,"Maranhao",2004,118.67,128752,26.86,31.76,22.88,73.88,8.88,12.86
10,"Maranhao",2005,119.46,127927,27.29,32.32,23.18,71.4,9.14,13.29
10,"Maranhao",2006,116.05,124969,26.91,31.76,22.96,73.93,8.8,12.91
10,"Maranhao",2007,115.78,126067,27.31,32.37,23.17,70.28,9.2,13.31
10,"Maranhao",2008,106.9,114269,26.94,31.96,22.87,72.46,9.09,12.94
10,"Maranhao",2009,103.5,109353,26.79,31.67,22.93,75.65,8.74,12.79
10,"Maranhao",2010,109.21,115311,27.62,32.7,23.42,70.86,9.28,13.62
10,"Maranhao",2011,104.37,105473,26.85,31.86,22.8,74.05,9.06,12.85
10,"Maranhao",2012,101.19,107678,27.33,32.62,23.02,70.42,9.6,13.33
10,"Maranhao",2013,99.21,102974,27.39,32.43,23.29,73.12,9.14,13.39
10,"Maranhao",2014,98.32,101258,27.1,32.09,23.03,74.06,9.06,13.1
10,"Maranhao",2015,87.84,91027,27.63,32.82,23.36,70.97,9.46,13.63
10,"Maranhao",2016,69.41,72635,27.87,33.04,23.68,71.43,9.36,13.87
10,"Maranhao",2017,71,80765,27.52,32.52,23.43,71.29,9.09,13.52
10,"Maranhao",2018,61.96,71266,27.15,32.22,23.06,73.78,9.16,13.15
10,"Maranhao",2019,47.02,72100,27.34,32.35,23.31,73.67,9.04,13.34
10,"Maranhao",2020,42.16,66265,27.09,32.11,22.93,71.96,9.18,13.09
10,"Maranhao",2021,44.07,74060,26.9,31.79,22.91,74.9,8.88,12.9
10,"Maranhao",2022,45.14,75872,26.77,31.79,22.66,72.98,9.13,12.77
18,"Piaui",2001,28.43,35688,27.18,32.7,22.38,61.44,10.32,13.18
18,"Piaui",2002,28.48,34877,27.49,32.7,22.79,59.98,9.91,13.49
18,"Piaui",2003,24.96,31532,27.51,32.84,22.85,60.29,9.99,13.51
18,"Piaui",2004,22.37,28965,27.29,32.51,22.71,60.67,9.8,13.29
18,"Piaui",2005,19.33,25203,27.51,32.82,22.83,60.07,9.99,13.51
18,"Piaui",2006,19.22,25149,27.19,32.42,22.61,62.74,9.81,13.19
18,"Piaui",2007,18.27,24420,27.78,33.18,22.87,57.41,10.31,13.78
18,"Piaui",2008,18.22,24945,27.14,32.36,22.54,62.04,9.82,13.14
18,"Piaui",2009,20.28,29894,26.95,32.07,22.61,66.54,9.46,12.95
18,"Piaui",2010,20.65,31234,27.83,33.13,23.09,60.2,10.04,13.83
18,"Piaui",2011,19.03,34752,26.99,32.18,22.45,63.65,9.73,12.99
18,"Piaui",2012,19.57,35163,28.27,33.81,23.21,54.43,10.6,14.27
18,"Piaui",2013,19.57,37518,28.16,33.39,23.45,58.41,9.94,14.16
18,"Piaui",2014,19.88,38005,27.84,33,23.19,59.62,9.81,13.84
18,"Piaui",2015,20.7,40274,28.5,33.93,23.61,56.32,10.32,14.5
18,"Piaui",2016,19.67,37455,28.66,34.04,23.81,56.34,10.23,14.66
18,"Piaui",2017,18.52,36647,28.03,33.18,23.28,59.51,9.9,14.03
18,"Piaui",2018,20.12,41788,27.69,32.89,23.08,61.58,9.81,13.69
18,"Piaui",2019,24.15,52269,28.14,33.54,23.34,59.54,10.2,14.14
18,"Piaui",2020,25.35,53439,27.11,32.42,22.43,63.48,9.99,13.11
18,"Piaui",2021,25.91,53614,27.4,32.67,22.75,62.26,9.92,13.4
18,"Piaui",2022,26.59,53991,26.9,32.4,22.13,63.19,10.27,12.9
6,"Ceara",2001,415.48,296440,27.05,32.33,22.65,64.39,9.68,13.05
6,"Ceara",2002,419.36,334273,26.89,32.33,22.7,66.33,9.63,12.89
6,"Ceara",2003,420.68,341715,27.15,32.16,22.96,65.25,9.2,13.15
6,"Ceara",2004,422.61,367667,26.79,31.54,22.84,66.91,8.7,12.79
6,"Ceara",2005,421.2,363025,27.47,32.52,23.17,62.53,9.35,13.47
6,"Ceara",2006,427.18,408026,27.15,32.01,23.09,65.6,8.92,13.15
6,"Ceara",2007,429.1,385455,27.19,32.22,22.78,64.42,9.44,13.19
6,"Ceara",2008,435.11,423016,26.76,31.65,22.47,67.2,9.18,12.76
6,"Ceara",2009,447.42,429506,26.44,31.25,22.39,71.49,8.86,12.44
6,"Ceara",2010,462.2,445169,27.55,32.61,23.07,64.48,9.54,13.55
6,"Ceara",2011,477.45,494250,26.31,31.12,22.19,71.45,8.93,12.31
6,"Ceara",2012,474.13,415763,27.61,33,22.87,60.83,10.13,13.61
6,"Ceara",2013,492.55,375531,27.65,32.8,23.31,63.42,9.49,13.65
6,"Ceara",2014,466.54,452541,27.18,32.19,23.01,65.31,9.18,13.18
6,"Ceara",2015,444.82,385028,27.45,32.75,23.05,64.26,9.7,13.45
6,"Ceara",2016,391.4,323840,27.76,32.91,23.44,64.66,9.47,13.76
6,"Ceara",2017,400.29,393738,27.4,32.25,23.3,66.61,8.95,13.4
6,"Ceara",2018,343.78,337636,27.15,32.06,23.12,67.91,8.94,13.15
6,"Ceara",2019,350.27,406334,27.28,32.33,23.21,67.28,9.12,13.28
6,"Ceara",2020,356.9,431017,27.03,32.2,22.79,66.54,9.41,13.03
6,"Ceara",2021,359.97,412103,27.37,32.47,23.15,64.18,9.32,13.37
6,"Ceara",2022,369.83,440017,26.53,31.66,22.4,68.54,9.26,12.53
20,"Rio Grande do Norte",2001,43.15,123749,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2002,57.9,163538,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2003,62.64,157552,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2004,63.55,199666,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2005,66.52,201891,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2006,65.8,202872,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2007,68.43,191026,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2008,51.74,115200,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2009,52.51,136928,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2010,56.03,145689,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2011,55.4,142750,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2012,53.05,147129,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2013,51.86,148304,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2014,58.16,171061,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2015,54.15,159335,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2016,51.26,155014,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2017,74.46,210933,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2018,78.07,216853,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2019,77.05,219179,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2020,78.03,193816,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2021,79.28,219063,NA,NA,NA,NA,NA,NA
20,"Rio Grande do Norte",2022,85.84,238553,NA,NA,NA,NA,NA,NA
15,"Paraiba",2001,152.21,272584,26.19,31.53,21.5,63.54,10.03,12.19
15,"Paraiba",2002,169.37,287735,25.76,31.53,21.41,66.53,10.12,11.76
15,"Paraiba",2003,163,283810,26.34,31.55,21.91,63.79,9.64,12.34
15,"Paraiba",2004,165.42,284896,26,30.85,21.92,67.24,8.93,12
15,"Paraiba",2005,160.77,257447,25.91,30.97,21.45,65.38,9.52,11.91
15,"Paraiba",2006,171.97,264638,26.02,31.12,21.65,66.07,9.47,12.02
15,"Paraiba",2007,162.74,242915,25.77,31.1,21.1,66.2,10,11.77
15,"Paraiba",2008,169.76,260670,25.55,30.79,21,68.92,9.79,11.55
15,"Paraiba",2009,174.78,267468,25.73,30.97,21.31,70.79,9.66,11.73
15,"Paraiba",2010,179.69,209380,26.17,31.54,21.45,67.22,10.09,12.17
15,"Paraiba",2011,133.19,202791,25.43,30.57,20.99,71,9.58,11.43
15,"Paraiba",2012,128.3,141974,26.12,31.84,21.04,62.62,10.8,12.12
15,"Paraiba",2013,124.42,145721,26.32,31.71,21.64,64.43,10.07,12.32
15,"Paraiba",2014,108.7,131345,25.8,31.07,21.34,66.82,9.73,11.8
15,"Paraiba",2015,105.86,134606,26.32,31.89,21.54,64.42,10.35,12.32
15,"Paraiba",2016,107.53,133524,26.48,31.94,21.75,65.29,10.19,12.48
15,"Paraiba",2017,98.73,121398,26.28,31.42,22,66.66,9.42,12.28
15,"Paraiba",2018,106.68,133200,26.17,31.38,21.8,66.9,9.58,12.17
15,"Paraiba",2019,108.43,133514,26.28,31.5,21.92,67.52,9.58,12.28
15,"Paraiba",2020,107.06,138732,25.93,31.11,21.59,67.2,9.52,11.93
15,"Paraiba",2021,105.94,131102,26.2,31.47,21.76,65.2,9.71,12.2
15,"Paraiba",2022,104.3,142325,25.58,30.61,21.36,69.52,9.25,11.58
17,"Pernambuco",2001,372.19,330227,25.39,30.64,20.79,65.15,9.85,11.39
17,"Pernambuco",2002,382.72,367481,25.25,30.64,20.82,66.39,9.82,11.25
17,"Pernambuco",2003,395.62,418004,25.82,31.06,21.26,63.31,9.8,11.82
17,"Pernambuco",2004,357.4,355604,25.4,30.34,21.14,66.83,9.2,11.4
17,"Pernambuco",2005,358.82,359432,25.35,30.45,20.86,66.63,9.59,11.35
17,"Pernambuco",2006,380.15,388875,25.28,30.38,20.88,67.54,9.5,11.28
17,"Pernambuco",2007,389.19,382417,25.15,30.4,20.54,67.03,9.86,11.15
17,"Pernambuco",2008,425.3,395209,25.13,30.24,20.63,68.49,9.61,11.13
17,"Pernambuco",2009,429.1,437155,25.44,30.55,21.06,70.16,9.49,11.44
17,"Pernambuco",2010,455.38,517285,25.49,30.63,20.99,68.91,9.64,11.49
17,"Pernambuco",2011,510.28,545707,25.06,30.14,20.67,69.95,9.47,11.06
17,"Pernambuco",2012,408.05,407574,25.75,31.32,20.71,62.06,10.61,11.75
17,"Pernambuco",2013,363.09,364144,25.83,31.08,21.24,64.77,9.84,11.83
17,"Pernambuco",2014,388.56,396470,25.29,30.41,20.98,67.37,9.43,11.29
17,"Pernambuco",2015,375.42,334125,26.1,31.59,21.38,63.51,10.21,12.1
17,"Pernambuco",2016,361.25,352067,26.07,31.38,21.44,64.98,9.94,12.07
17,"Pernambuco",2017,370.21,335836,25.77,30.74,21.61,66.82,9.13,11.77
17,"Pernambuco",2018,414.62,439118,25.6,30.72,21.34,67.75,9.38,11.6
17,"Pernambuco",2019,439.09,496991,25.86,31.01,21.52,66.63,9.49,11.86
17,"Pernambuco",2020,422.22,461862,25.33,30.39,21.12,67.52,9.27,11.33
17,"Pernambuco",2021,431.8,474704,25.6,30.66,21.36,65.65,9.3,11.6
17,"Pernambuco",2022,442.11,497050,24.87,29.76,20.78,70.73,8.98,10.87
2,"Alagoas",2001,47.17,100463,25.13,29.31,21.62,76.21,7.69,11.13
2,"Alagoas",2002,46.69,64520,24.96,29.31,21.71,77.29,7.6,10.96
2,"Alagoas",2003,40.64,50638,25.66,30.02,22.2,73.29,7.82,11.66
2,"Alagoas",2004,42.55,51799,25.3,29.41,22.04,76.35,7.37,11.3
2,"Alagoas",2005,40.85,49127,25.33,29.64,21.8,75.58,7.84,11.33
2,"Alagoas",2006,40.07,43852,25.23,29.53,21.69,75.68,7.84,11.23
2,"Alagoas",2007,40.03,43658,24.88,29.13,21.41,77.41,7.72,10.88
2,"Alagoas",2008,42.29,46519,25.23,29.56,21.65,76.23,7.91,11.23
